model,set,ref,hyp
indicconformer,indicvoices-valid,उसका प्रबंधन जो है सबसे पहले हमें जो भी बिजनेस का जो भी चाहे उद्योग है उसको खड़ा करने के लिए हमें हम एक अच्छी जगह होनी चाहिए जिससे कि हमें,उसका प्रबंधन जो है सबसे पहले हमें जो भी बिजनेस का जो भी चाहे उद्योग है उसको खड़ा करने के लिए हमें एक अच्छी जगह होनी चाहिए जिससे कि हमें
indicconformer,indicvoices-valid,हमारे क्षेत्र में बहुत से पक्षी देखने को मिलते हैं जैसे कि कौआ कोयल,हमारे क्षेत्र में बहुत से पक्षी देखने को मिलते हैं जैसे कि कौआ कोयल
indicconformer,indicvoices-valid,जी आप मेरी बात रेस्टोरेंट से कराइए मैं उन्हे शिकायत करुँगी जी,जी आप मेरी बात रेस्टोरेंट से कराइए मैं उन्हें शिकायत करूँगी जी
indicconformer,indicvoices-valid,भिंडी भिंडी अभी पचास के है,भिंडी भिंडी अभी पचास के
indicconformer,indicvoices-valid,क्या आप यह देखने के लिए ने नेटफ़्लिक्स लेने देने की जाँच कर सकते हैं कि पाँच जीरो जीरो जीरो रुपये का रिफ़ंड पिछले सप्ताह रिफ़ंड किया गया है या नहीं,क्या आप यह देखने के लिए नेट नेटफ्लिक्स लेने देने की जाँच कर सकते हैं कि पाँच जीरो जीरो ज़ीरो रुपये का रिफंड पिछले सप्ताह रिफंड किया गया है या नहीं
indicconformer,indicvoices-valid,उसका चारा दाना का व्यवस्था किया जाता है उसके बाद,उसका चारा दाना का व्यवस्था किया जाता है उसके बाद
indicconformer,indicvoices-valid,सर इसमें रसगुल्ला रसमलाई और रसगुल्ला रख दीजिएगा,सर इसमें रसगुल्लाई रसमलाई और रसगुल्ला रखनी सर
indicconformer,indicvoices-valid,जी तो और कम कीजिए सर थोड़ा सा मैंने काफ़ी जगह ट्राइ किया है तो मेरे को इतना नहीं है थोड़ा कम भी बताया है,जी तो और कम कीजिए सर थोड़ा सा मैंने काफ़ी जगह ट्राई किया तो मेरे को इतना जल्द नहीं थोड़ा कम भी बताया है
indicconformer,indicvoices-valid,क्योंकि मैं वहाँ पर सुबह जाती थी मेरी छः बजे से क्लास होती थी लेकिन हम पाँच बजे पहुँच जाते थे क्योंकि हमें वहाँ पर दौड़ना होता था हमें हमारे सर दौर करवाते थे और उसके बाद हम लोग एक घंटे की क्लास रहती थी वहाँ पर मुझे ख़ुद भी बहुत अच्छा लगता था,क्योंकि मैं वहाँ पर सुबह जाती थी मेरी छः बजे से क्लास होती थी लेकिन हम पाँच बजे पहुँच जाते थे क्योंकि हमें वहाँ पर दौड़ना होता था हमें हमारी सर दौड़ करवाते थे और उसके बाद हम लोग एक घंटे की क्लास रहती थी वहाँ पर मुझे खुद भी बहुत अच्छा लगता था
indicconformer,indicvoices-valid,वेज में है जैसे कि किसी को पास्ता पसंद होता है किसी को किसी को वेज वेज पास्ता किसी किसी किसी को,वेज में है जैसे कि किसी को पास्ता पसंद होता है किसी किसी को वेज वेज पास्ता किसी किसी किसी को
indicconformer,indicvoices-valid,मजा आता है दोस्त सब के जोरे खाने पीने में अच्छा लगता है दोस्त सब आता है तो बहुत मजा शादी ब्याह में दोस्त सब रहता है बहुत मजा आता है घूम नाचते हैं गाते हैं,मज़ा आता है दोस्त सब की जोड़े खाने पीने में अच्छा लगता है दोस्त सब आता है तो बहुत मज़ा आया शादी में दोस्त सब रहता है बहुत मज़ा आता है घूम नाचते हैं गाते हैं
indicconformer,indicvoices-valid,मैं अपने जो नृत्य के रूटिन के लिए जो संगीत है उसको बहुत ही सुन के उसको पसंद करके फिर उसको चुनता हूँ,मैं अपने जो नृत्य के रूटीन के लिए जो संगीत है उसको बहुत ही सुन के उसको पसंद करके फिर उसको चुनता हूँ
indicconformer,indicvoices-valid,पाँच सौ का छा सौ के देते हैं आप तो हज़ार बारह सौ क्या गाँव में है नहीं क्या आप ही हैं,पाँच सौ को छः सौ के देते हैं आप तो हज़ार बारह सौ क्या गांव है नहीं क्या आते ही नहीं
indicconformer,indicvoices-valid,कॉल काम करवाना है गाड़ी का मेरे काफ़ी टाइम हो गऍ जी जी जी ऑइल वगैरह वगैरह सब,काम करवाना है गाड़ी का मेरे काफ़ी टाइम हो गया है जी जी जी ऑयल वगैरह वगैरह सब
indicconformer,indicvoices-valid,मछली जो है बड़ी जल्दी बड़ी हो जाती है और मछलियों को एक नहीं तीन तीन ताल है तीनों ताल में तीनों तीन तीन चार चार क्वालिटी के साल मछली बढ़िया है,मछली जो है बड़ी जल्दी बड़ी हो जाती है और मछलियों एक नहीं तीन तीन दाल हैं तीनों ताल में तीनों तीन तीन चार चार पार्टी के साल मछली बढ़ जाए
indicconformer,indicvoices-valid,हमारा टाइम पास हो जाता है वीडियो गेम खेलने में हमें अच्छा लगता है मुझे लूडो बहुत पसन्द है मैं लूडो बहुत खेलती हूँ अपने फ़ैमिली के साथ लूडो खेलती हूँ अपने,हमारा टाइम पास हो जाता है वीडियो गेम खेलने में हमें अच्छा लगता है मुझे लूडो बहुत पसंद है मैं लूडो बहुत खेलती हूँ अपने फैमिली के साथ लूडो खेलती हूँ अपने
indicconformer,indicvoices-valid,से वह आज कई सारे बिजनेसों में आसमान की ऊँचाइयाँ छू रहे हैं,लुप्त से वे आज कई सारे बिजनेसों में आसमान की ऊँचाइयाँ छू रहे हैं
indicconformer,indicvoices-valid,इसीलिए तो मैं आपको,इसीलिए तो मैं आपको
indicconformer,indicvoices-valid,सब उसमें मिला दिया जाता है उसके बाद पालक चाट को एक उसमें दही ऐड करके,सब उसमें मिला दिया जाता है उसके बाद गाज पालक चाट को एक उसमें दही ऐड करके
indicconformer,indicvoices-valid,काम के सिलसिले में भोपाल की ओर प्रस्थान करते हैं भोपाल की तरफ़ आ ज़ाते हैं जिस से यहाँ जनसंख्या का घनत्व बहुत बढ़ गई है,काम के सिलसिले में भोपाल की ओर प्रस्थान करते हैं भोपाल की तरफ आ जाते हैं जिससे यहाँ जनसंख्या का घन तो बहुत बढ़ गया है
indicconformer,indicvoices-valid,क्या तुम मुझे आज की तारीख़ बता सकते हो,क्या तुम मुझे आज की तारीख बता सकते हो
indicconformer,indicvoices-valid,गेम के साथ साथ हमें अपनी पढ़ाई पर भी ध्यान रखना चाहिए और बातों पर भी ध्यान रखना चाहिए क्योंकि गेम को,गेम के साथ साथ हमें अपनी पढ़ाई पर भी ध्यान रखना चाहिए और बातों पर भी ध्यान रखना चाहिए क्योंकि गेम को
indicconformer,indicvoices-valid,पिछला,पिछला
indicconformer,indicvoices-valid,कि किस सोच में पड़े हो ये हुआ कि हम लोग स्नान करना चाहते हैं कैसे स्नान किया जाए,कि किस सोच में पड़े हो ये हो कि हम लोग स्नान करना चाहते हैं कैसे स्नान किया जाए
indicconformer,indicvoices-valid,नहीं वो आप नहीं डायरेक्ट आधा दम बोल रहे हैं उसमें कैसे आएगा आप दूसरे दुकान पे पूछ सकते हो ऐसा बात नहीं है वहाँ भी सबका एक ही भाव है अभी बीस बीस का हम आपको अपना कस्टमर है आप डेली का कस्टमर हो तो हम आपको इतना,नहीं वो आप डायरेक्ट आधा दाम बोल रहे हैं सबसे जो कैसे होगा आप दूसरे दुकान पर भी पूछ सकते हो ऐसा बात नहीं है वो अभी सबसे एवो है अभी बीस बीस हम आपको अपना कस्टमर है आप डेली का कस्टमर हो तो हम आपको अपना दे रहा हूँ
indicconformer,indicvoices-valid,मैम वह आपके स्कूल में जो सिक्स्थ ग्रेड में मेरा लड़का पढ़ता है रवि नाम है उसका मैं उसकी मम्मी हूँ,मैं वो आपके स्कूल में जो सिक्स ग्रेड में मेरा लड़का पढ़ता है रवि नाम है उसका मैं उसकी मम्मी हूँ
indicconformer,indicvoices-valid,ठीक है नहीं ठीक है मैं वो हाँ मैं आप को दवा दे दूँगा ठीक हो जाओगे भय नहीं है दवा मैं दूँगा आराम मिलेगा,नहीं ठीक है मैं हाँ मैं आपको दवा दे दूँगा ठीक है नहीं है दवा मैं देगा आराम मिलेगा
indicconformer,indicvoices-valid,आपकी कम्पनी का नाम क्या है सर,आपकी कंपनी का नाम क्या है सर
indicconformer,indicvoices-valid,तो उसमें कुछ ख खटर पटर की आवाज़ आ रही है और धुआँ दे रही है,तो उसमें कुछ खटर पटर की आवाज़ आ रही है और धुआं दे रही है
indicconformer,indicvoices-valid,हमारे क्षेत्र में जो काम वगैरह है उससे उनको काम करने का मौका दिया जाएगा उससे उनकी कमाई भी हो जाएगी रोज की घर खर्च भी चल जाएगा,हमारे क्षेत्र में जो काम वगैरह है उससे उनको काम करने का मौका दिया जाएगा उससे उनकी कमाई भी हो जाएगी रोज़ की घर खर्च भी चल जाएगा
indicconformer,indicvoices-valid,फिर उसको हम कपड़े को बैठा कर के सिल सीते हैं और उसमें,फिर उसको कपड़ा के बैठा करके सिल सीते हैं वो उसमें
indicconformer,indicvoices-valid,ठीक है आप लोग उसी के अंदर टाइम में आएंगी तभी आप पाएंगी उसके नहीं तो अगर देर करती हैं तो नहीं मिल पाएगी,ठीक है आप उसी के अंदर टाइम में आएँगे तभी आपको मिल पाएंगे उससे नहीं तो क्या अगर देर करती है तो नहीं मिल पाएगी
indicconformer,indicvoices-valid,हाँ वह आपके पास क्या क्या सब्ज़ी है,हाँ वो आपके पास क्या क्या सब्ज़ी है
indicconformer,indicvoices-valid,हमको वापस कर दीजिए सामान को नहीं वापस करिएगा तो हमको गंजन बात होता है,हमको वापस कर दीजिए सामान को नहीं वापस करिएगा तो हमको गंजन बात होता है
indicconformer,indicvoices-valid,के लिए किसी पे किसी के पास ज़्यादा समय ही नहीं है तो अपना घर बैठे फोनपे कर दिया और गूगलपे कर दिया और लेना हुआ तो ले भी लिए और देना हुआ तो दे भी दिये बस यही है फोनपे और गूगलपे,के लिए अब किसी पर किसी के पास ज़्यादा समय ही नहीं है तो अपना घर बैठे फ़ोनपे कर दिया और गूगल पे कर दिया और लेना हुआ तो ले भी लिए और देना हुआ तो दे भी दिए बस यही है फ़ोन पे और गूगल पे
indicconformer,indicvoices-valid,कुछ सूखे नमकीन और मीठे बनते हैं गुझिया बनती है,कुछ सूखे नमकीन और मीठे बनते हैं गुझिया बनती हैं
indicconformer,indicvoices-valid,नई हमारी दुकान में आप आएंगे तो आप पूर्ण रूप से संतुष्ट होके ही जाएंगे,नहीं हमारी दुकान में आप आएंगे तो आप पूर्ण रूप से संतुष्ट होके ही जाएंगे
indicconformer,indicvoices-valid,जब ऐसा होगा यदि कभी कभी होता है कि धर्म को लेकर थोड़ा सा विवाद बढ़ जाता है तो बड़े बुजुर्ग आकर धर्म के बारे में बताते हैं और समझाते हैं पढ़े लिखे भी लोग आकर,जब ऐसा होगा यदि कभी कभी होता है कि धर्म को लेकर थोड़ा सा विवाद बढ़ जाता है तो बड़े बुज़ुर्ग आकर धर्म के बारे में बताते हैं और समझाते हैं पढ़े लिखे भी लोग आकर
indicconformer,indicvoices-valid,क्योंकि सभी जगह आपको दर्शन वगैरह करवाने हैं घुमाना है तो उसमें हमारा जो मीटर ज़्यादा चलेगा उसमें,कि सभी जगह आपको दर्जन वगैरह करवाने हैं घुमाना है तो उसमें हमारा जो मीटर ज़्यादा चलेगा उसमें
indicconformer,indicvoices-valid,हँ पंद्रह के पड़ेगा थोक में,हाँ पंद्रह के पड़ेगा फोग में
indicconformer,indicvoices-valid,हम लोग जाते हैं अपना पूरा फैमिली के साथ रहते हैं बगीचा में बैठते हैं छत पर बैठते हैं फैमिली के साथ रहते हैं बहुत अच्छा लगता है देखने में हवा में रहने में हर एक चीज अच्छा है,हम लोग जाते हैं अपना पूरा फैमिली के साथ रहते हैं बगीचा में बैठते हैं छत पर बैठते हैं फैमिली के साथ रहते हैं बहुत अच्छा लगता है देखने में हवा में रहने में हर एक चीज़ अच्छा है
indicconformer,indicvoices-valid,जैसे अगर पंद्रहवीं हिस्सा है तो पंद्रहवीं हिस्से में कम से कम हम पच्चीस किलो या तीस किलो तक खाद डालते हैं,जैसे अगर पंद्रह बिस्सा है तो पंद्रह हिस्सा में कम से कम हम पच्चीस किलो या तीस किलो तक खाद डालते हैं
indicconformer,indicvoices-valid,मुझे नोटबुक लेना है और बुक लेना है पेंसिल लेना है और रबर लेना है और कटर लेना है,मुझे नोट बुक लेना है और बुक लेना है पेन्सिल लेना है और रबर लेना है और कटा लेना है
indicconformer,indicvoices-valid,योजना अभी निकाली है बच्चों के लिए जिसका नाम है सीखो कमाओ योजना जिसके अंतर्गत हम ट्रैनिंग के साथ साथ पैसे भी कमा सकते हैं और ट्रैनिंग के बाद अच्छी जॉब भी,योजना भी निकाली है बच्चों के लिए जिसका नाम है सीखो कमाओ योजना जिसके अंतर्गत हम ट्रेनिंग के साथ साथ पैसे भी कमा सकते हैं और ट्रेनिंग के बाद अच्छी जॉब भी
indicconformer,indicvoices-valid,अच्छा कौन बोल रहे हो आप,अच्छा कौन बोल रहे हो
indicconformer,indicvoices-valid,पॉलिसी नम्बर और उसका आर सी का कॉपी,शिफ्टी जाए पॉलिसी नंबर और उसका आर सी का कॉपी
indicconformer,indicvoices-valid,राधेश्याम यादव बनवारी लाल बिंद पवन कुमार बिंद हीरालाल चौरसिया माखन लाल यादव,राधेश्याम यादव बनवारी लाल बिंद पवन कुमार बिंद हीरा लाल चौरसिया माखन लाल यादव
indicconformer,indicvoices-valid,स्कूल की फीस यहाँ ऐसी है कि सरकारी स्कूल में तो फीस लगती नहीं लेकिन पढ़ाई उतनी रुचिदार नहीं होती यह ऐसा हर जगह भी नहीं है कहीं कहीं सरकारी स्कूल में ऐसी पढ़ाई होती है जैसा कि बड़े बड़े स्कूलों में भी नहीं होता,इस्कूल की फीस यहाँ ऐसी है कि सरकारी स्कूल में तो फ़ीस लगती नहीं लेकिन पढ़ाई उतनी रुचिदार नहीं होती ऐसा हर जगह भी नहीं है कहीं कहीं सरकारी स्कूल में ऐसी पढ़ाई होती है जैसा कि बड़े बड़े स्कूलों में भी नहीं होता
indicconformer,indicvoices-valid,अरे खूब हूँ बहुत अच्छा होता है हम लोग की सेवा भी करते हैं तो अच्छा किसाने हैं तो हम लोग सारे चीज करते हैं सब चीज उपजाते हैं सब चीज का,अरे खूब बहु बहुत अच्छा होता है हम लोग खेती बाड़ी करते हैं तो अच्छा किसानी हैं तो हम लोग सारे चीज़ करते हैं सब्जी उपजाते हैं सब चीज़ होता है
indicconformer,indicvoices-valid,लोग जब ऐसा बोलते हैं हमको भी अच्छा लगता है सामने वाले को भी अच्छा लगता है डान्स करते हुए,लोग जब ऐसा बोलते हैं हमको भी अच्छा लगता है सामने वालों को भी अच्छा लगता है डांस करते हुए
indicconformer,indicvoices-valid,जगदीशपुर के वह उनका लड़का है तबियत खराब हो गई थी तो तो वह उनको लेकर गए दवाखाने की जगह पर लेकर गए उनको झाड़फूँक करवाने के,जगदीशपुर के वो उनका लड़का है तबीयत खराब हो गया था तो तो वो उनको ले कर गए दवा खाने के जगह पर ले कर गए उनको झाड़ फूँक करवाने की
indicconformer,indicvoices-valid,हाँ तो आइए साग है हाँ,हाँ चाहिए साल है हाँ
indicconformer,indicvoices-valid,जैसे हमारे गाँव में चलता है मनरेगा का काम हो गया या फिर गाँव के क्षेत्र के थ्रू जो,जैसे हमारे गाँव में चलता है मनरेगा का काम हो गया या फिर गाँव के क्षेत्र के थ्रू जो
indicconformer,indicvoices-valid,ठीक है ना आ जाइए आप सॉप पे विजिट कीजिए ठीक है,ठीक है न आ जाइए आप शॉप पर विजिट कीजिए ठीक है
indicconformer,indicvoices-valid,गैस सिलेंडर ओवन या इंडक्शन चूल्हे की अपेक्षा,गैस सिलेंडर ओवन या इंडक्शन चूल्हे की अपेक्षा
indicconformer,indicvoices-valid,बोलना जरूरी है आजकल तो बच्चे बच्चे लोग हिंदी बोलना शुरू कर दिए हैं सारे चीज शुरू कर दिए हैं,बोलना ज़रूरी है आजकल तो बच्चे बच्चे लोग हिंदी बोलना शुरू कर दिए हैं सारे चीज़ शुरू कर दिए हैं
indicconformer,indicvoices-valid,हाँ ठीक है हम आ रहे हैं मैम और कुछ,हाँ ठीक है हम आ रहे हैं मैम और कुछ
indicconformer,indicvoices-valid,सप्लीमेंट आइटम्स का आर्डर प्राप्त करने में कितना समय लगेगा,सप्लीमेंट आइटम्स का ऑर्डर प्राप्त करने में कितना समय लगेगा
indicconformer,indicvoices-valid,आप मेरे को कम से कम बताइए पाँच लाख,आप मेरे को कम से कम बताइए पाँच लाख
indicconformer,indicvoices-valid,हमारा शुभ नाम पड़ेगा जयप्रकाश,हमारा शुभ नाम पड़ेगा जयप्रकाश
indicconformer,indicvoices-valid,हाँ थोड़ा इंजन उंजन उसका देख लीजिएगा,हाँ थोड़ा इंजन उंजन उसका देख लीजिएगा
indicconformer,indicvoices-valid,आईब्रो भी बनवाना है मसाज भी करवाना है अगर हम जल्दी से कर देंगे आपका मसाज तो आप आपको सुकून नहीं मिलेगा तो आप कहेंगी अच्छा नहीं हुआ तो हमारे यहाँ बहुत अच्छा से काम करती हैं लड़कियाँ कम से कम अक घंटा मसाज का काम करती हैं और आप यहाँ से खुश हो कर जाइएगा फिर हमारे यहाँ फिर आइएगा,आईब्रो भी बनवाना है मसाज भी करवाना है अगर हम जल्दी से कर देंगे आपका मसाज तो आप आपको सुकून नहीं मिलेगा तो आप कहेंगे अच्छा नहीं हुआ तो हमारे यहाँ बहुत अच्छा सा काम करती हैं लड़कियाँ कम से कम एक घंटा मसाज का काम करती हैं और आप यहाँ से खुश हो के जाइएगा फिर हमारे यहाँ फिर आइएगा
indicconformer,indicvoices-valid,हाँ दो कुंटल हाँ दो कुंटल,हाँ दो कुंटल हाँ दो कुंटल
indicconformer,indicvoices-valid,जो है एकदम घूमता रहता है तो उस हिसाब से पूरा जो है,जो है एकदम घूमता रहता है तो उस हिसाब से पूरा जो है
indicwav2vec,vaani-test,वगैरा है यहाँ पर ही जो देखने में लगरा नया दुकान है,बगैरा है यहां परी जो देखने में लगा रहा नया दुकान है
indicwav2vec,vaani-test,ता है इसमें नई नई चीजें रखी गई है,ताहे इसमें नई नई चीजें रखी गई हैं
indicwav2vec,vaani-test,घास भी लगी हुई है एक आदमी साइड में खड़ा हुआ है कुछ झूले भी दिखाई दे रहे हैं,घांस बीलगीइय एक आदमी साइड में खड़ा हुआ है कु झूले बीन दिखाई दे रहे हैं
indicwav2vec,vaani-test,आसमान काफी साफ दिख रहा है पेड़ भी दिख रहे है साइड मे एक गाड़ी खड़ी हुई दिख रही है मुझे काफी बड़ा सा गेट दिख रहा है,आसमान काफी साफ दिख रहा है पेड़ भी दिख रहे हैं साइड में एक गाड़ी खड़ी हुई दिख रही हैं मुझे काफी बड़ासा गेट दिख रहा है
indicwav2vec,vaani-test,किसी आदमी या औरत का हाथ दिखाई दे रहा है,किसी आदमी या औरत कहात दिखाई दे रहा है
indicwav2vec,vaani-test,ये चित्र में एक बड़ा सा ग्राउंड है जो गेट भी खुली हुई है ब्लैक कलर की गेट,ये चित्रों में एक बड़ा सग्रौन है जो गेट भी खुली हुई है ब्लैक कलर की गेट
indicwav2vec,vaani-test,यह एक खंभा है लोहे का,याएक खंभा हैं लोहे का
indicwav2vec,vaani-test,जिस पे टेंट लगा हुआ है वो पीले लाल और पेम डार्क चॉकलेटी रंग का है,जिस पर टेंट लगाओ हुआ हैलबो पीले लाल और बै डार्क चौकलटी रंग का है
indicwav2vec,vaani-test,देखिये सामने के तरफ येल्लो कलर की कुछ अ बिल्डिंग हैं और ये पार्क इसके सामने बना हुआ है एक पेड़ भी है बहोत ही सुन्दर देखने में ये लग रहा है साइड में इसके पेड़ बने हुए हैं,ि सामने की तरफ यह लोग अल की कुछ अबिल्डिंग हैं और हीपार्क इसके सामने बना हुआ है एक पेड़ भी है बहुत ही सुंदर देखने में लग रहा है साइडें में इसकी पेहर बने हुए हैं
indicwav2vec,vaani-test,ले है सामने की तरफ इसमे एक बड़ा सा गेट लगा हुआ है बड़े से गेट के ऊपर एक ब्लू कलर का बोड लगा हुआ है जिस में संभागीय कार्यालय लिखा हुआ है नीचे माध्यमिक शिक्षा मंडल राजनांदगांव लिखा हुआ है,र्यालय हीसामरिक दरभमें एक बड़ा सकेट लगा हुआ है बड़े सिगेट के ऊपर एक ब्लूकलर का बोर्ड लगा हुआ है जिसमें संभागीय कार्यालय एकावुहिनीचे माध्यमिक शिक्षामंडल राजनांदगांव लिखा हुआ है
indicwav2vec,vaani-test,उपर तार है पेड़ हैं आसपास दो व्यक्ति जा रहे हैं,ऊपर तार ही पेड़ हे आसपास दो व्यक्ति जा रहे हैं
indicwav2vec,vaani-test,उसके उपलक्ष में ही दशहरा मनाया जाता है,उसके उपलक्ष्य में ही दसारा मनाया जाता है
indicwav2vec,vaani-test,क्यू_आर_कार्ड के स्कैनर लगे है एक भारत पेऔर फ़ोन पे का स्कैनर लगा दिखाई दे रहा है जिसका मतलब यहाँ ऑनलाइन पेमेंट की सुविधा उपलब्ध,क्यूारकोड के स्कैनर लगे एक भारत पेर फोनपेका स्कैनर लगा दिखाई दे रहा है जिसका मतलब यहां ऑनलाइन पेमेंट की सुविधा उपलब्
indicwav2vec,vaani-test,यहा एक किल्ला है यहा किल्ले के पर इमारत बनी हुई है तथा प्रतिबिंब बना हुए है आसपास घर है और पेड़ पौधे लगे हुए है कुछ व्यक्ति इधर उधर जा रहे है,यहाँ एक किला है जहाँ किले के ऊपर इद इमारत बनी हुई हैं तथा प्रतिबिंबन हु हैं आसपास घरे हैं वो पेड़पोधे लगे वए कुछ व्यक्ति इधरउधर जा रहे हैं
indicwav2vec,vaani-test,ऊपर लाल कलर झोपड़ी जैसा बना है पीछे बड़े पेड़ है खंबे हैं,ऊपर लाल कलर झोंपड़ी जैसा बना है पीछे बड़े पेड़ है खमबे है
indicwav2vec,vaani-test,एक ह अन ग्लोब अम ग्लोब बना हुआ है और जे ग्लोब जो है नीले कलर का दिख रहा है और नीचे एक चौक का नाम लिखा हुआ है चौराहा है,हेग्लोपमग्लोबना हुआ है और जे ग्लोब जवैन ीलेकेलउस्का दिखरहा है और नीचे एक चौक का नाम लिखा हुआै च रहा है
indicwav2vec,vaani-test,धारियों के साथ एक रुमाल गले में बांधा हुआ है पास ही एक व्यक्ति सफ़ेद कलर की धोती और नारंगी रंग का,धारियों के साथ एक रूमाल गली में बांधा हुआ है पांस ी एक व्यक्ति सपेद कलर की धोती और नारंगी रंग का
indicwav2vec,vaani-test,की भी छत नीले कलर की है और एक की छत रेड है और खिड़किया बनी हुई है खिड़कियों का रंग नीला है सड़क पर पानी डला हुआ है न सामने पेड़ लगे हुए हैं कुछ खम्बे भी है पीछे पेड़ लगे हुऐ हैं,ी बी छतनीलेकरके एकीछ रहड और खिड़कियां बनी हुए खिड़कियों का रंग नीला सड़क पर पानी डला हुआ है सामने पेड़ लगे हुए कुछ खमेभिए पीछे पेड़ लगे हुए
indicwav2vec,vaani-test,यहाँ पर बहोत सारी मच्छियां रखी हुई हैं,या पवह सारी मच्छियाँ रखी हुई हैं
indicwav2vec,vaani-test,कुछ औरतें बाहर बैठी हुई दिख रही है जिन के,कुछ औरतें बाहर बैठी भी दिख रही हैं जिनके क
indicwav2vec,vaani-test,जो सफ़ेद रंग की है और बगल मे एक गार्डन भी है और आसमान भी दिखाई दे रहा है आसमान का रंग नीला दिखाई दे रहा है,जो सफेद रंग की है और बगल में एक गार्डन भी है औ आसमान भी दिखाई दे रहा है आसमान का रंग नीला दिखाई दे रहा है
indicwav2vec,vaani-test,वह टाइम देख रहा है और यहाँ पर कुछ महिलाएं भी खड़ी हुई है एक व्यक्ति जो यहाँ से द जा रहा था उसकी भी पिक्चर यहाँ पे आई हुई है,वह टाइम देख रहा है और यहां पे कुछ महिलाएं भी खड़ी हुई हैं एक व्यक्ति जो यहां से दार जा रहा था उसकी भी पिक्चर यहां पे आई हुई हैं
indicwav2vec,vaani-test,यहाँ पर बहोत से लोग शाकाहारी खाना खाने के लिए आते हैं हमें भी शाकाहारी खाना पसंद है खाते है,यहाँ पर पहुँचे लोग शाका अधिखाना खाने के लिए आते हैं हमें वीशाखा आधिाना कसंधय खाते हैं
indicwav2vec,vaani-test,सभी को एक के बाद एक ऊपर करके ऐसे इस तरह रखा गया है,सभी को एक केबाद एक ऊपर करके ऐसे इस तरह रखा गया है
indicwav2vec,vaani-test,यहाँ पे काफी सारे लोग भी दिख रहे है यहां पे एक बिल्डिंग दिख रही है व्हाइट एंड ब्लू कलर के यहाँ पे बहुत सारे पेड़ लगे हुए है उम्म पेड़ बड़े और छोटे लगे हैं पार्क में छोटी-छोटी घास लगी है,यहाँ पर काफी सारे लोग भी दिख रहे यहाँपर एक ब्रिडिंग दि रीहै वायटेन ब्लू कोलड़की यहाँ पर बहुत सारे पेड़ लगे हुए पेड़बाड़े और छोटे लगेै पार्क में छोटीछोटी घास लगीहए
indicwav2vec,vaani-test,पिक्चर में एक हेयर स्टाइलर की दुकान दिखाई दे रही है और एक लड़का भी बैठा हुआ है चेयर पर और ग्रीन कलर की चादर भी ओढ़े हुए है,पिकचर में एक हैरस्टाइलर की दुकान दिखाई दे रही है और एक लड़का भी बैठा हुआ ै चियरफर और ग्रीन कलर की चादर भी ओड़े हुए हैं
indicwav2vec,vaani-test,वर के माला के कुर्सी पर दूल्हे-दुल्हन की,जब वह जैमाला की खुशी पर दुलहेदुलन की
indicwav2vec,vaani-test,यह इमेज एक पार्क की दिखाई दे रही है आस पास ग्रास उगी है ग्रीन कलर में,यह इमेज एक पार्क की दिखाई दे रही है आसपास ग्रास हुगी हुई है क्रीन कलर में
indicwav2vec,vaani-test,अम् आसपास खम्भे लगे हुए हैं उसमे चोंगे लगे हुए हैं सीढियां हैं,आसपास कंबे लगे हुए हैं उसमें चौंगे लगे हुए हैं सीढ़िया हैं
indicwav2vec,vaani-test,यहाँ पर मुझे धुँधला-धुँधला दिखाई दे रहा है,यहां पर मुझे धुंधला दंधला दिखाई दे रहा है
indicwav2vec,vaani-test,आपको इस चित्र में एक खाने की प्लेट नजर आ रही होगी,आपको इस चित्र में एक खाने की प्लेट नजर आ रही होगी
